time,open,high,low,close,Upper,Basis,Lower,MA,Volume,Volume MA,RSI,Histogram,MACD,Signal
2003-10-21T13:30:00Z,13.98,14,13.67,13.87,15.430059539985312,14.083706799401531,12.73735405881775,12.067454999999944,411711,602852.05,22.620630879671182,-0.08883690384050197,0.20533242278214736,0.29416932662264933
2003-10-22T13:30:00Z,13.73,13.95,13.68,13.89,15.377266367111487,14.066097090365028,12.75492781361857,12.078104999999942,332525,493534.5,25.20884872957741,-0.10347252946172625,0.16482866479549152,0.26830119425721777
2003-10-23T13:30:00Z,13.51,13.65,13.18,13.3,15.321255973423707,13.996451900331843,12.67164782723998,12.087004999999943,416364,473166.55,10.886351472810219,-0.1473201275135681,0.08415103486525766,0.23147116237882576
2003-10-24T13:30:00Z,13.1,13.35,13.055,13.25,15.22191794437185,13.928592636665313,12.635267328958776,12.096804999999943,227607,463822.3,10.229628331811199,-0.172381349578434,0.01599447540578325,0.18837582498421726
2003-10-27T14:30:00Z,13.57,13.67,13.35,13.36,15.153640785260407,13.876902396968466,12.600164008676526,12.105104999999945,224511,459684.6,23.726551294415756,-0.1737501662792231,-0.028811882864811622,0.14493828341441148
2003-10-28T14:30:00Z,13.54,13.54,13.26,13.4,15.079488955790499,13.833547633607697,12.587606311424896,12.113904999999946,222679,451749.2,28.908859856742367,-0.16426851135489764,-0.06039735577921057,0.10387115557568707
2003-10-29T14:30:00Z,13.65,13.75,13.2,13.4,15.039673566830444,13.794134212370635,12.548594857910825,12.123404999999945,384674,452868.75,28.908859856742367,-0.15066134043056806,-0.08445551996252298,0.06620582046804506
2003-10-30T14:30:00Z,13.3,13.4,13.1,13.13,14.952129188653643,13.733758374882395,12.515387561111147,12.131414999999947,449520,445868.65,15.924888795689654,-0.15206906794687386,-0.12388051446554726,0.028188553481326588
2003-10-31T14:30:00Z,13.06,13.12,12.8,12.95,14.85821791235921,13.662507613529451,12.466797314699692,12.139014999999947,565852,458362.85,11.381173608472807,-0.1567238616064315,-0.1677162735267128,-0.010992411920281296
2003-11-03T14:30:00Z,12.97,13.4,12.95,13.3,14.816538374821349,13.629552375935864,12.44256637705038,12.152214999999948,527899,459908.15,49.06152315419925,-0.12898927423719864,-0.1722290047167796,-0.043239730479580955
2003-11-04T14:30:00Z,13.57,13.61,13,13.104,14.77759488615298,13.581774887214422,12.385954888275865,12.168939999999948,402488,410047.5,37.238927078417355,-0.11695799502144384,-0.18943722425638576,-0.07247922923494192
2003-11-05T14:30:00Z,13.26,13.3,12.93,12.986,14.706132580439442,13.527613533831293,12.349094487223143,12.186969999999947,353587,397817.75,31.20312968083833,-0.11015559596328736,-0.21017372418905111,-0.10001812822576375
2003-11-06T14:30:00Z,12.92,13.08,12.9,13.006,14.621878927958287,13.48019412166481,12.338509315371335,12.203049999999946,246735,381430.2,33.63404357732445,-0.09792924619450998,-0.22242968596890123,-0.12450043977439125
2003-11-07T14:30:00Z,12.97,13.14,12.96,12.99,14.54223559711764,13.435631019695283,12.329026442272925,12.219249999999946,265079,365098.6,32.41241005206075,-0.08501842999397352,-0.23077347726685815,-0.14575504727288463
2003-11-10T14:30:00Z,12.9,13.02,12.55,12.73,14.475749009389299,13.371482745177529,12.26721648096576,12.236349999999945,508326,370167.3,18.13827237743355,-0.08773314558576781,-0.2554214792550944,-0.1676883336693266
